Agency,Agency Type,Distribution Channel,Duration,Destination,Net Sales,Commision (in value),Age,Claim,Product_Category
JZI,Airlines,Online,51,Asia,22.0,7.7,36,0,Value Plan
EPX,Travel Agency,Online,38,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,7,Asia,37.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,180,Asia,10.0,0.0,28,0,Cancellation
EPX,Travel Agency,Offline,23,Asia,20.0,0.0,31,0,Comprehensive
EPX,Travel Agency,Online,4,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,39,Europe,59.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,7,Asia,28.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,2,Asia,22.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,160,South America,41.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,25,Asia,32.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,73,Europe,128.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,39,Asia,19.0,0.0,36,0,Cancellation
JZI,Airlines,Online,9,Oceania,45.0,15.75,45,1,Value Plan
C2B,Airlines,Online,6,Asia,22.5,5.63,43,0,Value Plan
EPX,Travel Agency,Online,26,Asia,24.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,25,Asia,29.0,0.0,35,0,Comprehensive
CWT,Travel Agency,Online,65,Oceania,9.9,5.94,31,0,Rental
EPX,Travel Agency,Online,11,Asia,80.0,0.0,36,0,Cancellation
JZI,Airlines,Online,14,Asia,26.0,9.1,45,0,Value Plan
EPX,Travel Agency,Online,5,North America,43.0,0.0,28,0,Comprehensive
EPX,Travel Agency,Online,93,Asia,20.0,0.0,45,0,Comprehensive
JZI,Airlines,Online,71,Oceania,58.0,20.3,28,0,Value Plan
CWT,Travel Agency,Online,13,Asia,19.8,11.88,47,0,Rental
EPX,Travel Agency,Online,25,Asia,20.0,0.0,35,0,Comprehensive
EPX,Travel Agency,Online,2,Asia,16.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,34,North America,21.0,0.0,32,0,Cancellation
EPX,Travel Agency,Online,5,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,8,Asia,30.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,9,Asia,26.0,9.1,63,0,Value Plan
EPX,Travel Agency,Online,8,Asia,15.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,40,Asia,30.0,0.0,29,0,Comprehensive
EPX,Travel Agency,Online,28,Asia,20.0,0.0,41,0,Comprehensive
EPX,Travel Agency,Online,76,Asia,45.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,69,Europe,138.6,83.16,48,0,Rental
EPX,Travel Agency,Online,19,Asia,26.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,10,Asia,40.0,10.0,55,0,Value Plan
EPX,Travel Agency,Online,17,Asia,10.0,0.0,39,0,Cancellation
EPX,Travel Agency,Online,15,Europe,66.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,110,South America,80.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,5,Asia,10.0,0.0,22,0,Cancellation
C2B,Airlines,Online,11,Asia,26.5,6.63,41,0,Value Plan
CWT,Travel Agency,Online,13,Asia,49.5,29.7,31,0,Rental
EPX,Travel Agency,Online,2,Asia,20.0,0.0,21,0,Comprehensive
SSI,Airlines,Online,146,Asia,0.19,0.05,48,0,Cancellation
CWT,Travel Agency,Online,6,Oceania,29.7,17.82,60,0,Rental
EPX,Travel Agency,Online,6,Asia,25.0,0.0,34,0,Comprehensive
CWT,Travel Agency,Online,16,Oceania,49.5,29.7,48,0,Rental
JZI,Airlines,Online,116,Asia,18.0,6.3,39,0,Value Plan
JZI,Airlines,Online,2,Asia,22.0,7.7,36,0,Value Plan
EPX,Travel Agency,Online,129,Asia,10.0,0.0,41,0,Cancellation
EPX,Travel Agency,Online,62,Asia,50.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,6,North America,23.0,0.0,49,0,Comprehensive
CWT,Travel Agency,Online,11,Oceania,39.6,23.76,47,0,Rental
JZI,Airlines,Online,84,Asia,69.0,24.15,34,0,Value Plan
EPX,Travel Agency,Online,63,Africa,112.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,17,Asia,20.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,12,Asia,16.0,4.0,21,0,Value Plan
EPX,Travel Agency,Online,33,Asia,21.0,0.0,36,0,Comprehensive
JZI,Airlines,Offline,43,Oceania,83.0,29.05,59,0,Value Plan
EPX,Travel Agency,Online,19,Asia,34.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,149,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,73,Asia,16.0,0.0,36,0,Cancellation
C2B,Airlines,Online,6,Asia,35.5,8.88,29,0,Value Plan
JZI,Airlines,Online,17,Asia,58.0,20.3,30,0,Value Plan
TST,Travel Agency,Offline,38,Asia,30.0,10.5,63,0,Single Trip
EPX,Travel Agency,Online,5,Asia,38.0,0.0,35,0,Comprehensive
EPX,Travel Agency,Online,14,Asia,53.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,39,Asia,26.0,9.1,54,0,Value Plan
EPX,Travel Agency,Online,13,Asia,35.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,70,North America,80.0,0.0,59,0,Cancellation
EPX,Travel Agency,Online,7,Asia,10.0,0.0,36,0,Cancellation
JZI,Airlines,Online,4,Asia,18.0,6.3,30,0,Value Plan
EPX,Travel Agency,Online,33,Asia,30.0,0.0,27,0,Comprehensive
EPX,Travel Agency,Online,3,Asia,18.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,62,Asia,20.0,0.0,43,0,Comprehensive
CWT,Travel Agency,Online,100,Oceania,59.4,35.64,31,0,Rental
EPX,Travel Agency,Online,13,Asia,24.0,0.0,36,0,Cancellation
JZI,Airlines,Online,68,Asia,40.0,14.0,21,0,Value Plan
C2B,Airlines,Online,4,Asia,13.5,3.38,28,0,Value Plan
C2B,Airlines,Online,64,Asia,63.5,15.88,60,0,Value Plan
EPX,Travel Agency,Online,8,Asia,73.0,0.0,36,0,Cancellation
JZI,Airlines,Online,5,Asia,45.0,15.75,42,0,Value Plan
EPX,Travel Agency,Online,14,Asia,13.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,13,Asia,14.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,9,Europe,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,31,North America,16.0,0.0,27,0,Cancellation
EPX,Travel Agency,Online,44,Asia,10.0,0.0,53,0,Cancellation
EPX,Travel Agency,Online,24,Asia,112.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,25,Asia,19.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,77,North America,112.0,0.0,40,0,Comprehensive
EPX,Travel Agency,Online,6,Asia,41.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,26,Asia,28.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,101,North America,66.0,0.0,39,0,Cancellation
SSI,Airlines,Online,145,Asia,1.61,0.45,48,0,Cancellation
EPX,Travel Agency,Online,88,North America,102.0,0.0,45,0,Cancellation
EPX,Travel Agency,Online,222,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,12,Asia,20.0,0.0,36,0,Comprehensive
CSR,Travel Agency,Offline,176,Asia,29.0,9.57,76,0,Comprehensive
EPX,Travel Agency,Online,38,Asia,26.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,6,Asia,9.9,5.94,45,0,Rental
EPX,Travel Agency,Online,165,Asia,10.0,0.0,36,0,Cancellation
C2B,Airlines,Online,14,Asia,43.55,10.89,47,0,Value Plan
EPX,Travel Agency,Online,16,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,13,Asia,21.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,19,Asia,25.0,0.0,36,0,Cancellation
RAB,Airlines,Online,2,Asia,15.0,6.0,66,0,Value Plan
CWT,Travel Agency,Online,21,North America,9.9,5.94,28,0,Rental
EPX,Travel Agency,Online,69,Oceania,81.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,69,Oceania,59.4,35.64,40,0,Rental
C2B,Airlines,Online,8,Asia,20.0,5.0,36,0,Value Plan
CWT,Travel Agency,Online,38,Oceania,0.0,17.82,30,0,Rental
C2B,Airlines,Online,365,Asia,216.0,54.0,47,0,Annual
EPX,Travel Agency,Online,8,Asia,75.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,45,Oceania,79.2,47.52,31,0,Rental
EPX,Travel Agency,Online,56,Europe,94.0,0.0,36,0,Comprehensive
SSI,Airlines,Online,169,Asia,1.32,0.37,48,0,Cancellation
EPX,Travel Agency,Online,2,Asia,12.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,4,Asia,20.0,0.0,45,0,Comprehensive
JZI,Airlines,Online,10,Asia,35.0,12.25,59,0,Value Plan
EPX,Travel Agency,Online,19,Asia,21.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,10,Asia,29.7,17.82,31,0,Rental
C2B,Airlines,Online,34,Asia,109.0,27.25,27,0,Value Plan
JZI,Airlines,Online,39,Asia,33.0,11.55,44,0,Value Plan
EPX,Travel Agency,Online,18,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,40,Europe,80.0,0.0,36,0,Cancellation
C2B,Airlines,Online,18,Asia,33.5,8.38,68,0,Value Plan
EPX,Travel Agency,Online,49,Asia,19.0,0.0,36,0,Cancellation
C2B,Airlines,Online,40,Asia,72.5,18.13,26,1,Value Plan
EPX,Travel Agency,Online,13,Asia,10.0,0.0,26,0,Cancellation
CWT,Travel Agency,Online,13,North America,39.6,23.76,40,0,Rental
EPX,Travel Agency,Online,6,Asia,10.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,13,Oceania,99.0,59.4,51,0,Rental
C2B,Airlines,Online,8,Asia,22.5,5.63,41,0,Value Plan
EPX,Travel Agency,Online,21,Asia,10.0,0.0,25,0,Cancellation
EPX,Travel Agency,Online,29,Asia,27.0,0.0,37,0,Comprehensive
EPX,Travel Agency,Online,35,Asia,22.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,5,Asia,10.0,0.0,49,0,Cancellation
CWT,Travel Agency,Online,109,Asia,39.6,23.76,49,0,Rental
EPX,Travel Agency,Online,13,Asia,35.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,14,Asia,35.0,12.25,47,0,Value Plan
C2B,Airlines,Online,41,Asia,33.5,8.38,29,0,Value Plan
JWT,Airlines,Online,12,Asia,39.0,15.6,118,0,Value Plan
RAB,Airlines,Online,15,Asia,31.0,12.4,37,0,Value Plan
EPX,Travel Agency,Online,41,Oceania,28.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,20,Asia,20.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,15,Asia,22.0,7.7,38,0,Value Plan
EPX,Travel Agency,Online,50,Asia,10.0,0.0,27,0,Cancellation
C2B,Airlines,Online,365,Asia,291.75,72.94,28,0,Annual
C2B,Airlines,Online,161,Asia,34.5,8.63,44,0,Value Plan
EPX,Travel Agency,Online,154,Asia,10.0,0.0,34,0,Cancellation
JWT,Airlines,Online,6,Asia,39.0,15.6,118,0,Value Plan
CWT,Travel Agency,Online,13,Asia,69.3,41.58,31,0,Rental
C2B,Airlines,Online,7,Asia,18.5,4.63,37,0,Value Plan
EPX,Travel Agency,Online,90,Asia,22.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,6,Asia,12.0,0.0,31,0,Cancellation
EPX,Travel Agency,Online,2,Asia,11.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,20,Asia,29.7,17.82,38,0,Rental
CWT,Travel Agency,Online,4,Europe,19.8,11.88,28,0,Rental
EPX,Travel Agency,Online,18,Asia,19.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,49,Europe,99.0,59.4,49,0,Rental
EPX,Travel Agency,Online,23,Europe,28.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,4,Asia,22.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,3,Asia,20.0,0.0,36,0,Comprehensive
